file_line,txn_id,user_id,timestamp,merchant_name,amount,device_id,reject_reason
20371,t_5c0a3d9ac8ccd55d,u_01290,not_a_timestamp,Grubhub,63.64,d_001803,unparseable_timestamp
38131,t_3f08cfbcfd6430b2,u_01677,2026-07-27T02:26:13Z,SQ *SUBWAY,,d_002344,missing_or_invalid_amount
44235,t_2c8fc5dc3396cb88,u_01340,2026-07-09T05:57:01Z,Etsy,49.38,d_001871,exact_duplicate
59832,t_736053bd15d6df8f,u_01012,2026-07-29T10:18:44Z,PHILZ COFFEE,51.66,d_001413,exact_duplicate
66869,t_4a2b28e08fa8d83c,u_00976,2026-06-12T01:24:26Z,SQ *IN-N-OUT,18.24,d_002847,exact_duplicate
69481,t_2e4bb10eb7294f4b,u_00423,2026-06-21T03:42:09Z,Shein,48.3,d_000591,exact_duplicate
71308,t_04f06b2aba12239c,u_00397,2026-06-18T02:07:51Z,Shell,43.79,d_000553,exact_duplicate
71783,t_48f0b518cf347262,u_01893,2026-07-20T03:45:12Z,eBay,22.75,d_002654,exact_duplicate
85552,t_00656c1aa253f942,u_00630,2026-07-20T10:57:48Z,Nordstrom,130.14,d_000886,exact_duplicate
91846,t_7871a9aec86906a1,u_01577,2026-07-31T18:54:27Z,In-N-Out,13.93,d_002202,exact_duplicate
93859,t_715651edd9324d62,u_00180,2026-06-23T13:50:25Z,Amazon,25.53,d_000249,exact_duplicate
101110,t_10b40f56e82c4d86,u_01781,not_a_timestamp,Sephora,45.9,d_002496,unparseable_timestamp
101124,t_643cab36e40ff328,u_00789,2026-06-28T05:53:54Z,WALMART #9653,20.34,d_001104,exact_duplicate
103960,t_52d1ffe676b319c8,u_01050,2026-05-14T14:21:20Z,Home Depot,10.89,d_001468,exact_duplicate
104692,t_10318e25efa3a004,u_00836,not_a_timestamp,SQ *UBER,73.37,d_001169,unparseable_timestamp
104717,t_692fc18c6d3f40d2,u_01781,2026-05-12T02:02:20Z,Walmart,80.36,d_002496,exact_duplicate
111704,t_3af335a529b0e41a,u_01793,2026-06-10T12:36:11Z,Verizon,72.91,d_002514,exact_duplicate
115451,t_73a08c250639019a,u_00738,2026-06-07T11:26:48Z,PlayStation Store 12,21.93,d_001035,exact_duplicate
119048,t_66d388eef00f310a,u_00736,2026-05-03T08:14:14Z,Airbnb,142.33,d_001033,exact_duplicate
124619,t_307100ecae1b4c07,u_00549,2026-07-12T02:51:55Z,ZELLE TRANSFER #9191,47.31,d_000770,exact_duplicate
130129,t_33ee7102056507ec,u_01812,2026-07-02T14:15:13Z,WALMART SAN JOSE CA,22.39,d_002541,exact_duplicate
132124,t_4e27af39dbc3db4b,u_00656,2026-06-13T12:03:54Z,Spotify,2.73,d_000926,exact_duplicate
133025,t_0a2314c327821556,u_00812,2026-05-03T17:40:39Z,Costco,26.82,d_001134,exact_duplicate
145414,t_25b72283cad66c52,u_00720,2026-05-25T03:53:28Z,In-N-Out,19.05,d_001015,exact_duplicate
145523,t_78e558dca980cfab,u_00912,2026-07-02T12:47:51Z,Spotify,42.95,d_002815,exact_duplicate
146091,t_15e1f63dbc2cf673,u_00736,not_a_timestamp,TARGET,114.9,d_001033,unparseable_timestamp
147436,t_7dd5c3a412d353e2,u_00633,2026-05-05T06:13:15Z,PLANET FITNESS CA,129.0,d_000891,exact_duplicate
