txn_id,rules,reason,user_id,timestamp,amount,merchant_name,device_id,related_txn_ids
t_7918e4346e1a43ae,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 6 different merchants within 17 min ($27.28 so far). The burst ran to 15 charges and $42.64 by 07:40 UTC; its other charges are listed in related_txn_ids.,u_01677,2026-05-03T07:33:16Z,0.8,WEBSERVICES PRO,d_002344,t_60aad19b69324879;t_0301935522ad027e;t_0297aba40e9c85e4;t_4078b5aa084c22e1;t_478d50b72a938400;t_26655d06ee8e1feb;t_193c29a7cbed7890;t_4a89608c4d843b93;t_35f5224ad52d7212;t_0c78388e0699164b;t_1fb75d856d47586b;t_4fa3e85f7dee80af;t_78d4892488fa0490;t_4531490f665264b1
t_09671d78565377ac,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 7 different merchants within 14 min ($27.96 so far). The burst ran to 20 charges and $55.57 by 09:03 UTC; its other charges are listed in related_txn_ids.,u_01678,2026-05-03T08:46:26Z,4.52,APPSTORE-MICRO,d_002346,t_0c9c24fbaa5e4a75;t_5b960a988d78686f;t_46974935a2858501;t_224d95f4b9ef7b60;t_61e1f3e30dd42d17;t_28aae40d4d786671;t_13371070d3982c20;t_727f9ca941ab6831;t_0144f64170feb4a2;t_73915879fa638159;t_3d08c8c6774e66bc;t_6518e566570a68b1;t_258f42d5d8d56971;t_18c09eb3f9186fa2;t_0ac26f0d533ebb63;t_0c450cd821fcb723;t_4652d1f3645e7393;t_2967fd681d8287d5;t_456210f72f4b6a9a
t_3d01c08eda4888da,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 8 different merchants within 15 min ($22.43 so far). The burst ran to 20 charges and $49.41 by 01:16 UTC; its other charges are listed in related_txn_ids.,u_01255,2026-05-05T01:02:27Z,3.42,EBOOKS DIRECT,d_001757,t_5a495e22824fd4b3;t_6f48319332c35ed7;t_1bd601a25526684a;t_7b876f55f06a9469;t_137087b12bff0002;t_4e608dc030dc1e54;t_17ffeea880dbf7c5;t_6147b38ea54e92f6;t_286d02fd6b9fcc87;t_42c304829ab02f45;t_7933c1d18f1410ab;t_5fcb30d89036fdf5;t_75dc515f02a2dbdc;t_4d58563cf3842d30;t_578cd396bc4de556;t_298d520cb6139453;t_6274ba107d191a9a;t_7cb9346ab5cbd413;t_20b7a1367d28cb7b
t_02cad7b90911cef3,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 8 different merchants within 24 min ($23.52 so far). The burst ran to 22 charges and $62.53 by 07:45 UTC; its other charges are listed in related_txn_ids.,u_01419,2026-05-06T07:24:16Z,1.9,EBOOKS DIRECT,d_001984,t_76d112ef652d2f9f;t_489c04cea78fcdd2;t_06ebc713229427e7;t_0b74d3be79a1f0b8;t_0a86ae7eb5d9e7ed;t_7428cf385b4f4b5b;t_3f3b5b6cd84319f8;t_290afb710f1c39e0;t_49341c630619bc04;t_77fa15ddd65bfca5;t_4f5f348a5a6d7ca9;t_0df3da73125fb8a1;t_29a83cd0b7de914d;t_449472b44835a04d;t_483d99a79ee08e80;t_70560bcde9041dd3;t_31298bf8e0a21809;t_6b38d0d9c0c67fd0;t_1c6a4478f05c5751;t_4834850226b7c97b;t_1d576bc5197a37a5
t_591acc3c55b7edcd,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 6 different merchants within 13 min ($28.17 so far). The burst ran to 25 charges and $66.32 by 12:19 UTC; its other charges are listed in related_txn_ids.,u_01889,2026-05-07T11:54:35Z,2.28,QUICKSUB.IO,d_002649,t_5e9a097b422d26dd;t_1ca5d6a8210fdfcb;t_682e419ca8e632d0;t_055466c633567209;t_79e933b06151f039;t_1ba60e7da2748669;t_5e8bde03b58a1de3;t_4b8c71d6cb022e03;t_64f3bc05794e9e3b;t_52a72f20a95447e5;t_531718e6922e5a3b;t_37beb0a5fd59c827;t_4ad440e550eb9c69;t_05a905adf9a4cc10;t_66fd1738d3fa81fe;t_6ab7258bb797c2cd;t_6460e1b2c6f09bd6;t_332334dd94d7789f;t_37224a62f646a9ee;t_325e0dfa0d46263d;t_7b2a3911f9b0ef06;t_12dc600603a3dd5a;t_4f08d492f4afa436;t_2a887876c3942533
t_4519c1ee926b20ca,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 8 different merchants within 16 min ($24.69 so far). The burst ran to 13 charges and $31.05 by 17:06 UTC; its other charges are listed in related_txn_ids.,u_00522,2026-05-07T17:01:30Z,2.68,EBOOKS DIRECT,d_000731,t_1bde18a07d3d17f0;t_3cb6bc657a109a08;t_5184c6599f58452a;t_1d4ae955f4aea042;t_2d2a7c610da97df9;t_1ce240dea6a0aaa4;t_1620f2760714a0bf;t_1ac329d473ac7993;t_4e6b695640938720;t_564c07753687bd32;t_27d93b013ec0385e;t_55ad8ec4491008bc
t_10fa8874d6a55789,LARGE_PURCHASE_ON_NEW_DEVICE,"Large purchase on new device: $109.21 at STEAM on device d_002667, its first transaction on this account (2026-05-10 19:43 UTC). That is 4x the account's median purchase of $28.68 over its 18 earlier purchases.",u_01904,2026-05-10T19:43:27Z,109.21,STEAM,d_002667,
t_0f7cf540499a53d4,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 7 different merchants within 14 min ($25.21 so far). The burst ran to 16 charges and $37.84 by 14:40 UTC; its other charges are listed in related_txn_ids.,u_01169,2026-05-11T14:32:10Z,1.9,DONATENOW ORG,d_001642,t_765c21837853f74b;t_5db9e96207088610;t_340a749bc4c778c0;t_4ed24444689fcce3;t_18cbe7d43a443520;t_7a62b46303c6acdc;t_3cb731880a8a8820;t_021c6c0ddcf73cb2;t_14e1c385317a3ffe;t_277414f3a1d239ef;t_2d56e635188d836a;t_69065acfa2cd0ef2;t_6bdbb0ac25cf0fd0;t_793eb073b709958e;t_513978d64d763304
t_3f02f91d8929103e,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 8 different merchants within 14 min ($25.78 so far). The burst ran to 20 charges and $49.16 by 17:10 UTC; its other charges are listed in related_txn_ids.,u_01144,2026-05-12T16:51:08Z,3.56,GAMETOP CREDITS,d_001607,t_0ba29ea98237355d;t_62632d89ba3236ba;t_67d97e139c1d3873;t_0e1006a24882e816;t_65715a51d1a20678;t_1be448a21a7669dd;t_4c11206a4db585e9;t_7f261850b3b52ea1;t_5d1f95a55dcd33c7;t_7436c7bc3e01fbe7;t_382a9ff9cfe913c8;t_7620e053df30e87f;t_0d6d29eece10e4d8;t_059d0a789b23ba18;t_416306378046f30d;t_427e2e2da7576658;t_75f61955a947ce53;t_203f81fce47648b2;t_392dc166d0d178d2
t_4daa2939321b3dd6,CARD_TESTING_BURST,Card-testing burst: 10 charges under $5 at 7 different merchants within 16 min ($30.43 so far). The burst ran to 16 charges and $38.59 by 09:14 UTC; its other charges are listed in related_txn_ids.,u_00680,2026-05-15T09:03:10Z,4.33,GAMETOP CREDITS,d_000958,t_067be3ec451ac1a0;t_767894b22c9700e5;t_2e0dcc6ff7270137;t_64adfa36cdefdbc2;t_1bfa7e482dd09e70;t_04b69acd7dc6ce40;t_39c94fc47b728efd;t_1b9c5b5ca3807a7a;t_5c9a4f70b0bc95fc;t_3e1cfdab6f039060;t_674a60386c2a9092;t_2edab1890b9a42ab;t_38dd8d9aa775aed0;t_4d93a28a1e08e587;t_4b5607d36a26d420
